Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sde               0.00   675.42 28354.60  252.93 226836.80  7443.60     8.19     4.81    0.17   0.03  98.77
sdd               0.00   652.67 28360.58  159.83 226884.67  6500.00     8.18     4.76    0.17   0.03  98.76
sdf               0.00   730.15 28401.03  168.80 227208.27  7199.07     8.20     7.58    0.27   0.03  99.62
sda               0.00     0.68    0.00    1.30     0.00    15.87    12.21     0.03   20.91   6.88   0.89
dm-0              0.00     0.00    0.00    1.98     0.00    15.87     8.00     0.04   21.59   4.51   0.89
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 113460.75 3542.95 907686.00 28336.40     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00    19.75 28609.90   13.28 228879.20   260.00     8.01     7.75    0.28   0.03  99.77
sdc               0.00     0.02    0.00    0.17     0.00     1.00     6.00     0.00    0.30   0.30   0.01
sde               0.00    26.30 28580.47   14.47 228643.73   326.13     8.01     4.58    0.17   0.03  98.78
sdd               0.00    17.30 28577.02    6.40 228616.13   189.60     8.00     4.56    0.16   0.03  98.75
sdf               0.00    30.72 28608.82   11.38 228870.53   336.80     8.01     7.37    0.26   0.03  99.63
sda               0.00     0.53    0.00    1.10     0.00    13.07    11.88     0.02   18.03   6.94   0.76
dm-0              0.00     0.00    0.00    1.63     0.00    13.07     8.00     0.03   18.69   4.67   0.76
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 114376.37  139.13 915011.20  1112.53     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.05 28623.40    0.57 228987.20     4.40     8.00     7.73    0.27   0.03  99.73
sdc               0.00     0.02    0.00    0.12     0.00     0.80     6.86     0.00    0.43   0.43   0.01
sde               0.00     0.00 28575.25    0.02 228602.00     0.13     8.00     4.53    0.16   0.03  98.79
sdd               0.00     0.00 28597.48    0.05 228779.87     0.40     8.00     4.54    0.16   0.03  98.80
sdf               0.00     0.08 28588.13    0.25 228704.80     2.67     8.00     7.41    0.26   0.03  99.76
sda               0.00     0.48    0.00    1.12     0.00    12.80    11.46     0.02   17.63   6.87   0.77
dm-0              0.00     0.00    0.00    1.60     0.00    12.80     8.00     0.03   16.76   4.79   0.77
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 114383.93    0.95 915071.47     7.60     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.03 28640.67    0.38 229125.33     2.80     8.00     7.71    0.27   0.03  99.72
sdc               0.00     0.02    0.00    0.10     0.00     0.67     6.67     0.00    0.00   0.00   0.00
sde               0.00     0.00 28612.27    0.02 228898.13     0.13     8.00     4.54    0.16   0.03  98.85
sdd               0.00     0.00 28613.78    0.02 228910.27     0.13     8.00     4.54    0.16   0.03  98.82
sdf               0.00     0.08 28587.45    0.25 228699.60     2.67     8.00     7.44    0.27   0.03  99.77
sda               0.00     0.47    0.00    0.92     0.00    11.07    12.07     0.01   14.09   7.31   0.67
dm-0              0.00     0.00    0.00    1.38     0.00    11.07     8.00     0.02   13.67   4.84   0.67
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 114454.48    0.72 915635.87     5.73     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00     0.00 28473.27    0.50 227786.13     3.33     8.00     7.73    0.28   0.04  99.69
sdc               0.00     0.00    0.00    0.07     0.00     0.35     5.25     0.00    0.00   0.00   0.00
sde               0.00     0.00 28482.08    0.03 227856.67     0.27     8.00     4.52    0.16   0.03  98.80
sdd               0.00     0.00 28488.95    0.05 227911.60     0.40     8.00     4.53    0.16   0.03  98.72
sdf               0.00     0.10 28514.85    0.30 228118.80     3.20     8.00     7.47    0.27   0.03  99.73
sda               0.00     0.80    0.02    1.18     0.13    15.87    13.33     0.02   16.39   6.82   0.82
dm-0              0.00     0.00    0.02    1.98     0.13    15.87     8.00     0.04   17.57   4.09   0.82
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00 113959.52    0.90 911676.13     7.20     8.00     0.00    0.00   0.00   0.00

