Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-0              0.00     0.00    0.00    1.23     0.00     9.87     8.00     0.02   14.09   5.68   0.70
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 7012.70     0.00 56071.60     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1733.65    0.00  211.33     0.00 15339.07    72.58     0.05    0.26   0.11   2.34
sdc               0.00     0.03    0.00    0.43     0.00     3.95     9.12     0.00    2.19   0.31   0.01
sde               0.00  1856.30    0.00  189.00     0.00 16362.40    86.57     0.09    0.47   0.20   3.78
sdd               0.00  1154.52    0.00  171.17     0.00 10605.47    61.96     0.07    0.38   0.16   2.78
sdf               0.00  1786.72    0.00  182.92     0.00 15757.07    86.14     0.10    0.55   0.21   3.85
sda               0.00     0.47    0.00    0.92     0.00    11.07    12.07     0.01   12.04   6.49   0.59
dm-0              0.00     0.00    0.00    1.38     0.00    11.07     8.00     0.02   12.92   4.33   0.60
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 7261.30     0.00 58064.00     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1672.85    0.00  207.90     0.00 14822.53    71.30     0.05    0.24   0.11   2.25
sdc               0.00     0.00    0.00    0.07     0.00     0.10     1.50     0.00    0.00   0.00   0.00
sde               0.00  1868.32    0.00  189.48     0.00 16462.40    86.88     0.09    0.49   0.21   3.90
sdd               0.00  1125.77    0.00  164.95     0.00 10325.73    62.60     0.07    0.43   0.18   3.00
sdf               0.00  1796.47    0.00  183.12     0.00 15836.67    86.48     0.10    0.55   0.21   3.92
sda               0.00     0.63    0.00    1.18     0.00    14.53    12.28     0.02   17.42   7.32   0.87
dm-0              0.00     0.00    0.00    1.82     0.00    14.53     8.00     0.03   16.38   4.77   0.87
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 7184.32     0.00 57447.33     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1711.10    0.00  220.75     0.00 15222.13    68.96     0.06    0.26   0.11   2.43
sdc               0.00     0.03    0.00    0.20     0.00     3.60    18.00     0.00    0.00   0.00   0.00
sde               0.00  1858.93    0.00  192.72     0.00 16413.20    85.17     0.10    0.50   0.21   4.14
sdd               0.00  1152.90    0.00  176.23     0.00 10633.07    60.34     0.07    0.41   0.18   3.09
sdf               0.00  1788.93    0.00  191.53     0.00 15843.73    82.72     0.11    0.56   0.21   4.01
sda               0.00     0.47    0.00    1.07     0.00    12.27    11.50     0.01   13.30   6.92   0.74
dm-0              0.00     0.00    0.00    1.53     0.00    12.27     8.00     0.02   14.02   4.82   0.74
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 7267.92     0.00 58112.13     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1646.58    0.00  208.25     0.00 14621.60    70.21     0.05    0.24   0.11   2.26
sdc               0.00     0.03    0.00    0.65     0.00     5.58     8.59     0.00    0.23   0.08   0.01
sde               0.00  1825.18    0.00  189.13     0.00 16114.53    85.20     0.10    0.51   0.21   4.06
sdd               0.00  1110.63    0.00  167.00     0.00 10221.07    61.20     0.07    0.42   0.19   3.10
sdf               0.00  1718.57    0.00  184.70     0.00 15226.13    82.44     0.11    0.57   0.22   4.02
sda               0.00     0.57    0.00    1.07     0.00    13.07    12.25     0.02   14.83   6.86   0.73
dm-0              0.00     0.00    0.00    1.63     0.00    13.07     8.00     0.02   13.37   4.48   0.73
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
md0               0.00     0.00    0.00 7026.28     0.00 56183.33     8.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdb               0.00  1595.87    0.00  194.77     0.00 14107.07    72.43     0.05    0.25   0.12   2.25
sdc               0.00     0.00    0.00    0.10     0.00     0.63     6.33     0.00    0.00   0.00   0.00
sde               0.00  1792.63    0.00  190.23     0.00 15862.93    83.39     0.09    0.49   0.21   3.91
sdd               0.00  1063.27    0.00  158.15     0.00  9771.33    61.79     0.06    0.41   0.18   2.77
sdf               0.00  1714.35    0.00  183.80     0.00 15185.20    82.62     0.10    0.56   0.21   3.80
