Linux 2.6.32-220.el6.x86_64 (lightning) 	2013年02月05日 	_x86_64_	(64 CPU)

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             249.40         0.00     17702.93          0    1062176
sdc               0.10         0.00         0.98          0         59
sde             225.37         0.00     18986.67          0    1139200
sdd             197.73         0.00     11829.07          0     709744
sdf             216.77         0.00     18407.20          0    1104432
sda               0.93         0.00        10.67          0        640
dm-0              1.33         0.00        10.67          0        640
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8369.40         0.00     66925.87          0    4015552

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             235.32         0.00     16849.20          0    1010952
sdc               0.30         0.00        11.22          0        673
sde             208.87         0.00     17947.20          0    1076832
sdd             193.60         0.00     11592.00          0     695520
sdf             203.53         0.00     17718.93          0    1063136
sda               0.87         0.00        11.60          0        696
dm-0              1.45         0.00        11.60          0        696
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8016.68         0.00     64107.33          0    3846440

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             247.97         0.00     17716.80          0    1063008
sdc               1.95         0.00       366.32          0      21979
sde             223.33         0.00     19137.20          0    1148232
sdd             203.95         0.00     12085.60          0     725136
sdf             220.62         0.00     18716.27          0    1122976
sda               1.32         0.00        16.27          0        976
dm-0              2.03         0.00        16.27          0        976
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8461.07         0.00     67655.87          0    4059352

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             249.35         0.00     17974.13          0    1078448
sdc               0.17         0.00         1.97          0        118
sde             224.23         0.00     19158.80          0    1149528
sdd             200.88         0.00     12039.07          0     722344
sdf             212.43         0.00     18531.33          0    1111880
sda               0.88         0.00        10.80          0        648
dm-0              1.35         0.00        10.80          0        648
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8466.57         0.00     67703.33          0    4062200

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             247.43         0.00     17947.73          0    1076864
sdc               0.07         0.00         0.10          0          6
sde             218.75         0.00     19102.00          0    1146120
sdd             200.35         0.00     12112.00          0     726720
sdf             213.35         0.00     18536.67          0    1112200
sda               1.17         0.00        13.87          0        832
dm-0              1.73         0.00        13.87          0        832
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8465.80         0.00     67700.53          0    4062032

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             233.22         0.00     17310.13          0    1038608
sdc               0.50         0.00         4.72          0        283
sde             217.60         0.00     18522.13          0    1111328
sdd             191.47         0.00     11545.47          0     692728
sdf             213.50         0.00     18154.93          0    1089296
sda               0.95         0.00        11.73          0        704
dm-0              1.47         0.00        11.73          0        704
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8195.93         0.00     65538.93          0    3932336

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             252.70         0.00     18180.67          0    1090840
sdc               0.23         0.00         1.60          0         96
sde             223.53         0.00     19119.87          0    1147192
sdd             206.18         0.00     12152.80          0     729168
sdf             212.93         0.00     18656.27          0    1119376
sda               1.03         0.00        12.80          0        768
dm-0              1.60         0.00        12.80          0        768
dm-1              0.00         0.00         0.00          0          0
dm-2              0.00         0.00         0.00          0          0
md0            8516.17         0.00     68101.20          0    4086072

Device:            tps   Blk_read/s   Blk_wrtn/s   Blk_read   Blk_wrtn
sdb             224.53         0.00     16003.07          0     960184
sdc               0.07         0.00         0.10          0          6
